date,price,daily_change
2025-09-16,116776.27134667119,
2025-09-17,116797.00205991932,20.730713248136453
2025-09-18,116455.94648225319,-341.0555776661349
2025-09-19,117169.11793707692,713.171454823736
2025-09-20,115656.94582205842,-1512.172115018504
2025-09-21,115722.89635080755,65.95052874913381
2025-09-22,115255.84820116173,-467.0481496458233
2025-09-23,112692.49699542265,-2563.3512057390762
2025-09-24,112002.46136592985,-690.035629492806
2025-09-25,113317.1626894919,1314.7013235620543
2025-09-26,108963.53013595635,-4353.632553535557
2025-09-27,109710.20874667744,746.6786107210937
2025-09-28,109675.14319507511,-35.065551602325286
2025-09-29,112142.57362752674,2467.430432451627
2025-09-30,114309.15041119447,2166.576783667726
2025-10-01,114024.22783550054,-284.9225756939268
2025-10-02,118503.24451752483,4479.0166820242885
2025-10-03,120514.57785586915,2011.3333383443241
2025-10-04,122294.92441742845,1780.3465615593013
2025-10-05,122428.89063350529,133.96621607683483
2025-10-06,123506.18520027678,1077.2945667714957
2025-10-07,124773.50823074432,1267.323030467538
2025-10-08,121518.75593575071,-3254.75229499361
2025-10-09,123352.50487523204,1833.748939481331
2025-10-10,121698.03066778315,-1654.4742074488895
2025-10-11,113043.67586321975,-8654.354804563409
2025-10-12,110655.26975977031,-2388.406103449437
2025-10-13,115189.5714637257,4534.301703955396
2025-10-14,115222.28302116522,32.711557439513854
2025-10-15,113156.56943826913,-2065.713582896089
2025-10-16,110708.66960879423,-2447.8998294749035
